print meta info for videos/SampleVideo_176x144_5mb.3gp:
  duration time: 204.27 秒
  file size: 5.00 MB
  frame rate: 15.00 fps
  decoder: H.263 / H.263-1996, H.263+ / H.263-1998 / H.263 version 2

帧类型与大小统计:
frame #1: size before decode=5784 bytes, size after decode=73728 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=1500 bytes, size after decode=73728 bytes, type=P, timestamp=0.067 seconds
frame #3: size before decode=1544 bytes, size after decode=73728 bytes, type=P, timestamp=0.133 seconds
frame #4: size before decode=1036 bytes, size after decode=73728 bytes, type=P, timestamp=0.200 seconds
frame #5: size before decode=1676 bytes, size after decode=73728 bytes, type=P, timestamp=0.267 seconds
frame #6: size before decode=1716 bytes, size after decode=73728 bytes, type=P, timestamp=0.333 seconds
frame #7: size before decode=1057 bytes, size after decode=73728 bytes, type=P, timestamp=0.400 seconds
frame #8: size before decode=1741 bytes, size after decode=73728 bytes, type=P, timestamp=0.467 seconds
frame #9: size before decode=1080 bytes, size after decode=73728 bytes, type=P, timestamp=0.533 seconds
frame #10: size before decode=1724 bytes, size after decode=73728 bytes, type=P, timestamp=0.600 seconds
frame #11: size before decode=1664 bytes, size after decode=73728 bytes, type=P, timestamp=0.667 seconds
frame #12: size before decode=1087 bytes, size after decode=73728 bytes, type=P, timestamp=0.733 seconds
frame #13: size before decode=5656 bytes, size after decode=73728 bytes, type=I, timestamp=0.800 seconds
frame #14: size before decode=1478 bytes, size after decode=73728 bytes, type=P, timestamp=0.867 seconds
frame #15: size before decode=1551 bytes, size after decode=73728 bytes, type=P, timestamp=0.933 seconds
frame #16: size before decode=1575 bytes, size after decode=73728 bytes, type=P, timestamp=1.000 seconds
frame #17: size before decode=1016 bytes, size after decode=73728 bytes, type=P, timestamp=1.067 seconds
frame #18: size before decode=1682 bytes, size after decode=73728 bytes, type=P, timestamp=1.133 seconds
frame #19: size before decode=1044 bytes, size after decode=73728 bytes, type=P, timestamp=1.200 seconds
frame #20: size before decode=1615 bytes, size after decode=73728 bytes, type=P, timestamp=1.267 seconds
frame #21: size before decode=1645 bytes, size after decode=73728 bytes, type=P, timestamp=1.333 seconds
frame #22: size before decode=1066 bytes, size after decode=73728 bytes, type=P, timestamp=1.400 seconds
frame #23: size before decode=1675 bytes, size after decode=73728 bytes, type=P, timestamp=1.467 seconds
frame #24: size before decode=991 bytes, size after decode=73728 bytes, type=P, timestamp=1.533 seconds
frame #25: size before decode=5517 bytes, size after decode=73728 bytes, type=I, timestamp=1.600 seconds
frame #26: size before decode=1831 bytes, size after decode=73728 bytes, type=P, timestamp=1.667 seconds
frame #27: size before decode=927 bytes, size after decode=73728 bytes, type=P, timestamp=1.733 seconds
frame #28: size before decode=1549 bytes, size after decode=73728 bytes, type=P, timestamp=1.800 seconds
frame #29: size before decode=1005 bytes, size after decode=73728 bytes, type=P, timestamp=1.867 seconds
frame #30: size before decode=1626 bytes, size after decode=73728 bytes, type=P, timestamp=1.933 seconds
frame #31: size before decode=1519 bytes, size after decode=73728 bytes, type=P, timestamp=2.000 seconds
frame #32: size before decode=1015 bytes, size after decode=73728 bytes, type=P, timestamp=2.067 seconds
frame #33: size before decode=1548 bytes, size after decode=73728 bytes, type=P, timestamp=2.133 seconds
frame #34: size before decode=959 bytes, size after decode=73728 bytes, type=P, timestamp=2.200 seconds
frame #35: size before decode=1578 bytes, size after decode=73728 bytes, type=P, timestamp=2.267 seconds
frame #36: size before decode=1543 bytes, size after decode=73728 bytes, type=P, timestamp=2.333 seconds
frame #37: size before decode=5395 bytes, size after decode=73728 bytes, type=I, timestamp=2.400 seconds
frame #38: size before decode=1772 bytes, size after decode=73728 bytes, type=P, timestamp=2.467 seconds
frame #39: size before decode=922 bytes, size after decode=73728 bytes, type=P, timestamp=2.533 seconds
frame #40: size before decode=1480 bytes, size after decode=73728 bytes, type=P, timestamp=2.600 seconds
frame #41: size before decode=1465 bytes, size after decode=73728 bytes, type=P, timestamp=2.667 seconds
frame #42: size before decode=916 bytes, size after decode=73728 bytes, type=P, timestamp=2.733 seconds
frame #43: size before decode=1472 bytes, size after decode=73728 bytes, type=P, timestamp=2.800 seconds
frame #44: size before decode=996 bytes, size after decode=73728 bytes, type=P, timestamp=2.867 seconds
frame #45: size before decode=1539 bytes, size after decode=73728 bytes, type=P, timestamp=2.933 seconds
frame #46: size before decode=1417 bytes, size after decode=73728 bytes, type=P, timestamp=3.000 seconds
frame #47: size before decode=936 bytes, size after decode=73728 bytes, type=P, timestamp=3.067 seconds
frame #48: size before decode=1471 bytes, size after decode=73728 bytes, type=P, timestamp=3.133 seconds
frame #49: size before decode=5257 bytes, size after decode=73728 bytes, type=I, timestamp=3.200 seconds
frame #50: size before decode=1691 bytes, size after decode=73728 bytes, type=P, timestamp=3.267 seconds
frame #51: size before decode=1367 bytes, size after decode=73728 bytes, type=P, timestamp=3.333 seconds
frame #52: size before decode=843 bytes, size after decode=73728 bytes, type=P, timestamp=3.400 seconds
frame #53: size before decode=1369 bytes, size after decode=73728 bytes, type=P, timestamp=3.467 seconds
frame #54: size before decode=943 bytes, size after decode=73728 bytes, type=P, timestamp=3.533 seconds
frame #55: size before decode=1399 bytes, size after decode=73728 bytes, type=P, timestamp=3.600 seconds
frame #56: size before decode=1374 bytes, size after decode=73728 bytes, type=P, timestamp=3.667 seconds
frame #57: size before decode=856 bytes, size after decode=73728 bytes, type=P, timestamp=3.733 seconds
frame #58: size before decode=1438 bytes, size after decode=73728 bytes, type=P, timestamp=3.800 seconds
frame #59: size before decode=944 bytes, size after decode=73728 bytes, type=P, timestamp=3.867 seconds
frame #60: size before decode=1382 bytes, size after decode=73728 bytes, type=P, timestamp=3.933 seconds
