print meta info for videos/SampleVideo_360x240_10mb.flv:
  duration time: 103.24 秒
  file size: 10.08 MB
  frame rate: 25.00 fps
  decoder: FLV / Sorenson Spark / Sorenson H.263 (Flash Video)

帧类型与大小统计:
frame #1: size before decode=19541 bytes, size after decode=184320 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=2293 bytes, size after decode=184320 bytes, type=P, timestamp=0.040 seconds
frame #3: size before decode=3918 bytes, size after decode=184320 bytes, type=P, timestamp=0.080 seconds
frame #4: size before decode=2198 bytes, size after decode=184320 bytes, type=P, timestamp=0.120 seconds
frame #5: size before decode=2913 bytes, size after decode=184320 bytes, type=P, timestamp=0.160 seconds
frame #6: size before decode=2856 bytes, size after decode=184320 bytes, type=P, timestamp=0.200 seconds
frame #7: size before decode=5281 bytes, size after decode=184320 bytes, type=P, timestamp=0.240 seconds
frame #8: size before decode=2127 bytes, size after decode=184320 bytes, type=P, timestamp=0.280 seconds
frame #9: size before decode=2909 bytes, size after decode=184320 bytes, type=P, timestamp=0.320 seconds
frame #10: size before decode=2846 bytes, size after decode=184320 bytes, type=P, timestamp=0.360 seconds
frame #11: size before decode=3151 bytes, size after decode=184320 bytes, type=P, timestamp=0.400 seconds
frame #12: size before decode=3006 bytes, size after decode=184320 bytes, type=P, timestamp=0.440 seconds
frame #13: size before decode=3250 bytes, size after decode=184320 bytes, type=P, timestamp=0.480 seconds
frame #14: size before decode=3571 bytes, size after decode=184320 bytes, type=P, timestamp=0.520 seconds
frame #15: size before decode=2515 bytes, size after decode=184320 bytes, type=P, timestamp=0.560 seconds
frame #16: size before decode=3209 bytes, size after decode=184320 bytes, type=P, timestamp=0.600 seconds
frame #17: size before decode=3134 bytes, size after decode=184320 bytes, type=P, timestamp=0.640 seconds
frame #18: size before decode=3365 bytes, size after decode=184320 bytes, type=P, timestamp=0.680 seconds
frame #19: size before decode=3447 bytes, size after decode=184320 bytes, type=P, timestamp=0.720 seconds
frame #20: size before decode=3625 bytes, size after decode=184320 bytes, type=P, timestamp=0.760 seconds
frame #21: size before decode=2169 bytes, size after decode=184320 bytes, type=P, timestamp=0.800 seconds
frame #22: size before decode=4138 bytes, size after decode=184320 bytes, type=P, timestamp=0.840 seconds
frame #23: size before decode=3482 bytes, size after decode=184320 bytes, type=P, timestamp=0.880 seconds
frame #24: size before decode=3514 bytes, size after decode=184320 bytes, type=P, timestamp=0.920 seconds
frame #25: size before decode=3380 bytes, size after decode=184320 bytes, type=P, timestamp=0.960 seconds
