print meta info for videos/SampleVideo_320x240_5mb.3gp:
  duration time: 86.17 秒
  file size: 5.01 MB
  frame rate: 25.00 fps
  decoder: MPEG-4 part 2

帧类型与大小统计:
frame #1: size before decode=10882 bytes, size after decode=184320 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=7556 bytes, size after decode=184320 bytes, type=P, timestamp=0.040 seconds
frame #3: size before decode=3815 bytes, size after decode=184320 bytes, type=P, timestamp=0.080 seconds
frame #4: size before decode=4285 bytes, size after decode=184320 bytes, type=P, timestamp=0.120 seconds
frame #5: size before decode=3747 bytes, size after decode=184320 bytes, type=P, timestamp=0.160 seconds
frame #6: size before decode=3981 bytes, size after decode=184320 bytes, type=P, timestamp=0.200 seconds
frame #7: size before decode=3460 bytes, size after decode=184320 bytes, type=P, timestamp=0.240 seconds
frame #8: size before decode=3782 bytes, size after decode=184320 bytes, type=P, timestamp=0.280 seconds
frame #9: size before decode=3470 bytes, size after decode=184320 bytes, type=P, timestamp=0.320 seconds
frame #10: size before decode=3457 bytes, size after decode=184320 bytes, type=P, timestamp=0.360 seconds
frame #11: size before decode=3490 bytes, size after decode=184320 bytes, type=P, timestamp=0.400 seconds
frame #12: size before decode=1981 bytes, size after decode=184320 bytes, type=P, timestamp=0.440 seconds
frame #13: size before decode=17570 bytes, size after decode=184320 bytes, type=I, timestamp=0.480 seconds
frame #14: size before decode=3040 bytes, size after decode=184320 bytes, type=P, timestamp=0.520 seconds
frame #15: size before decode=2021 bytes, size after decode=184320 bytes, type=P, timestamp=0.560 seconds
frame #16: size before decode=1804 bytes, size after decode=184320 bytes, type=P, timestamp=0.600 seconds
frame #17: size before decode=3233 bytes, size after decode=184320 bytes, type=P, timestamp=0.640 seconds
frame #18: size before decode=1847 bytes, size after decode=184320 bytes, type=P, timestamp=0.680 seconds
frame #19: size before decode=2804 bytes, size after decode=184320 bytes, type=P, timestamp=0.720 seconds
frame #20: size before decode=2159 bytes, size after decode=184320 bytes, type=P, timestamp=0.760 seconds
frame #21: size before decode=1010 bytes, size after decode=184320 bytes, type=P, timestamp=0.800 seconds
frame #22: size before decode=3859 bytes, size after decode=184320 bytes, type=P, timestamp=0.840 seconds
frame #23: size before decode=1064 bytes, size after decode=184320 bytes, type=P, timestamp=0.880 seconds
frame #24: size before decode=2723 bytes, size after decode=184320 bytes, type=P, timestamp=0.920 seconds
frame #25: size before decode=18749 bytes, size after decode=184320 bytes, type=I, timestamp=0.960 seconds
frame #26: size before decode=1139 bytes, size after decode=184320 bytes, type=P, timestamp=1.000 seconds
frame #27: size before decode=3001 bytes, size after decode=184320 bytes, type=P, timestamp=1.040 seconds
frame #28: size before decode=777 bytes, size after decode=184320 bytes, type=P, timestamp=1.080 seconds
frame #29: size before decode=1576 bytes, size after decode=184320 bytes, type=P, timestamp=1.120 seconds
frame #30: size before decode=2845 bytes, size after decode=184320 bytes, type=P, timestamp=1.160 seconds
frame #31: size before decode=594 bytes, size after decode=184320 bytes, type=P, timestamp=1.200 seconds
frame #32: size before decode=635 bytes, size after decode=184320 bytes, type=P, timestamp=1.240 seconds
frame #33: size before decode=1884 bytes, size after decode=184320 bytes, type=P, timestamp=1.280 seconds
frame #34: size before decode=687 bytes, size after decode=184320 bytes, type=P, timestamp=1.320 seconds
frame #35: size before decode=982 bytes, size after decode=184320 bytes, type=P, timestamp=1.360 seconds
frame #36: size before decode=872 bytes, size after decode=184320 bytes, type=P, timestamp=1.400 seconds
frame #37: size before decode=20203 bytes, size after decode=184320 bytes, type=I, timestamp=1.440 seconds
frame #38: size before decode=734 bytes, size after decode=184320 bytes, type=P, timestamp=1.480 seconds
frame #39: size before decode=968 bytes, size after decode=184320 bytes, type=P, timestamp=1.520 seconds
frame #40: size before decode=877 bytes, size after decode=184320 bytes, type=P, timestamp=1.560 seconds
frame #41: size before decode=1055 bytes, size after decode=184320 bytes, type=P, timestamp=1.600 seconds
frame #42: size before decode=905 bytes, size after decode=184320 bytes, type=P, timestamp=1.640 seconds
frame #43: size before decode=1014 bytes, size after decode=184320 bytes, type=P, timestamp=1.680 seconds
frame #44: size before decode=1035 bytes, size after decode=184320 bytes, type=P, timestamp=1.720 seconds
frame #45: size before decode=1142 bytes, size after decode=184320 bytes, type=P, timestamp=1.760 seconds
frame #46: size before decode=1353 bytes, size after decode=184320 bytes, type=P, timestamp=1.800 seconds
frame #47: size before decode=1570 bytes, size after decode=184320 bytes, type=P, timestamp=1.840 seconds
